prvccID	language
TASK_EVOLUTION_EUDEMON	幻化<color=#00ff00>{0}</color>达到<color=#00ff00>{1}</color>星({2}/{3})
TASK_FIGHT_EUDEMON	上阵{0}({1}/{2})
TASK_REACH	达到<color=#00ff00>{0}</color>({1}/{2})
TASK_GAIN_EUDEMON	获取<color=#00ff00>{0}</color>{1}个({2}/{3})
TASK_SKILL_LEVEL	<color=#00ff00>{0}</color>达到<color=#00ff00>{1}</color>级({2}/{3})
TASK_KILL_MONSTER_LEADER	击败世界首领<color=#00ff00>{0}</color>个（{1}/{2}）
TASK_COMPOUND	合成<color=#00ff00>{0}{1}</color>个({2}/{3})
TASK_EQUIP_ADDTION	<color=#00ff00>{0}</color>件装备强化到<color=#00ff00>{1}</color>级({2}/{3})
TASK_WEAR_EQUIP	装备<color=#00ff00>{0}</color>以上品质装备<color=#00ff00>{1}</color>件({2}/{3})
TASK_PASS_DEMON_CITY	通关恶魔塔第<color=#00ff00>{0}</color>层({1}/{2})
CLOUDPAY_PLAYER_BUY_RECORD	玩家<color=#62ba3c>{0}</color>购买了一张云购劵
CLOUDPAY_BUY_COUNT_NOTENOUGH	当前批次云购已售完
CLOUDPAY_BUY_HAVE_BUY	你已购买：{0}份
CLOUDPAY_BUY_REMAIN_COUNT	开奖剩余次数：{0}次
CLOUDPAY_BUY_TIME_TIPS	（{0}后不限购买次数）
ESCORT_CARRIGE_TO	运送货物到<color=#00ff00>{0}({1},{2})</color>
LIKE_TIME_USE_UP	点赞次数已用完
LIKE_SUCCESS	您在{0}排行榜中赞了{1}1次
TASK_COMPLETE_TIP	完成任务目标（{0}/{1}）
EUDEMON	幻兽
GAIN_EUDEMON_EGG	参加活动，获得幻兽蛋
SOCIAL	社交
SKILL	技能
SKILL_NAME	<color=#90A3Ba>技能名字：</color>{0}
SKILL_LEVEL_CN	<color=#49ECF2>{0}级</color>
SKILL_CUR_LEVEL	等级: {0}/{1}
SKILL_MAX_LEVEL 已满级
SKILL_NEED_LEVEL	角色{0}级
SKILL_LEVELUP_COST_COIN	消耗银币：{0}
SKILL_NOT_GET	未学习
SKILL_GET	学习
SKILL_AWAKEN	觉醒
SKILL_LEVEUP_SUCCESS	技能升级成功
SKILL_AWAKEN_SUCCESS	技能觉醒成功
XP_SKILL_TIPS	XP技能只对怪物有效，XP值满后可以释放
SKILL_LEVELUP_CONDITION	升级条件：
SKILL_AWAKEN_CONDITION	觉醒条件：
SKILL_FULL_LEVEL	<color=#FC9438>已满级</color>
SKILL_FULL_LEVEL1	技能等级已满！
SKILL_GET_LEVEL	<color=#C568E7>{0}级学习</color>
SKILL_DONT_GET	<color=#C568E7>未解锁</color>
LEVELUP	升级
COMBAT_VALUE	战斗力评分
APPEARENCE	外观
ACTIVATE	激活
DRESS	穿戴
DISCHARGE	卸下
DEBLOCKING	解锁
RIDE	骑乘
NO_QUEST_NPC_POSTION	角色ID =<color=#00ff00>{0}</color>坐标不存在
IN_TP_STATE	0
IN_PICKUP_STATE	1
ALREADY_MAX_LEVEL	幻化等级已达上限
NO_ENOUGH_MASTER_LEVEL	角色等级不足
NO_ENOUGH_CLOVER	四叶草不足
NO_SUCH_PROPS	没有该类道具
NO_ENOUGH_MINOR	副幻兽不足
NO_EUDEMON_MEET	没有满足条件的副幻兽
NOTICE_EUDEMON_RANK_MAX	幻兽进化等级已达上限
USE_HIGH_LEVEL_MINOR	材料不足，将使用更高星级的副幻兽代替，请确认是否需要幻化？
ONLINE	在线
OFFLINE	离线
CANINPUTNUM	还可以输入{0}个字
INPUT_CANT_BE_EMPTY	输入内容不能为空
CANT_RESEARCH_SELF	不能查找自己
RESEARCHRESULT_IS_EMPTY	该名字不存在或该玩家不在线
CUSTOM_GROUPING	自定义分组
GROUPING_NAME_CANTBE_EMPTY	新建分组名称不能为空
GROUP_LOBBY_IS_EMPTY	目前没有军团，不能申请加入
CANT_UST_THIS_GROUPNAME	不能使用该分组名
ALREADY_HAVE_THIS_GROUP	已经有该分组
HAVENOTCHOOSEGROUP	未选择好友分组
DELETEFIRENDCONFIRM	是否断绝与{0}的关系
APPLY_ADD_FRIEND	{0}请求添加你为好友
BTN_NAME_ADD	添加
BTN_NAME_APPLY	申请
ADD_SUCCESSFUL	添加成功
APPLY_SUCCESSFUL	申请成功
NEW_GROUP	新建分组
EDIT_GROUP	编辑分组
GROUPINVITE	邀请军团
APPOINT_JOB	任命职位
ILLEGAL_CHARACTERS	输入名字不合法
GROUPINVITECONFIRM	<color=#90A3BA>{0}</color>邀请你加入<color=#FFD675>{1}</color>军团,是否加入？
GROUPQUITCONFIRM	您确定要退出军团吗？退出军团后将清除军团工资。
GROUPQUITCONFIRM1	您确定要退出军团吗？退出后本军团将被解散。
GROUPEXITHEGEMONY	军团争霸活动期间，不能退出军团！
GROUPEXITHEGEMONY1	军团争霸活动期间，不能踢人！
MAX_GROUP_COUNT_REACHED	达到军团数量上限
GROUP_NAME_LENGTH_ERROR	军团名长度不合法(1 - 7个中文字符)
GROUP_DESC_LENGTH_ERROR	军团宣言长度不合法(1 - 40个中文字符)
ALREADY_IN_GROUP	已经属于其它军团
COST_INSUFFICIENT	消耗不足
GROUP	军团
GROUP_REMIND1	请先加入军团，再来参加该活动
GROUP_REMIND2	当前正在其他活动当中，不可参加军团宴会!
GROUPKICK	踢出军团
GROUPDESIGNATE	任命
GROUPREMOVE	免除
GROUPCHANGECHIEF	转让领袖
GROUPGETBACK	免去职务
GROUPCHANGELEADER	转让军团长
GROUPCHANGEVICELEADER	任命副团长
GROUPCHANGEOLDHEAD	任命元老
GROUPCHANGESENATOR	任命议员
GROUPCHANGEROSE	任命玫瑰女神
GROUPCHANGEPREMEMBER	转预备团员
REMOVE_FROM_GROUP	踢出军团
READYMEMBER_COUNT_ENOUGH	预备团员数量已达上限
GROUPMAIL_SENT_SUCCESS	军团邮件发送成功
COST_INSUFFICIENT	魔石不足
NAME_LENGTH_ERROR	名字长度错误
DESC_LENGTH_ERROR	宣言长度错误
NAME_REPEATED	名字重复
HOON_IS_NOT_ENOUGH	战勋不足
SENDREDPACKETREMIND	当天红包如果没有发放，则系统将会在晚上7点统一发放\n加倍红包金额需自己支付金币差额
GROUP_NAME_ADN_LEVEL	{0}  等级:{1}
EUDEMONS	幻 兽
LEVEL_LIMIT	{0}级
RANK_LIMIT	{0}阶
SCORE_LIMIT	{0}分
GROWTH	成长率
PRIMARY_ABILITY_SCORE	主属性评分
STAR	星级
COMPOSE	幻化
NO_ENOUGH_COIN	货币不足
NO_ENOUGH_MATERIAL	材料不足
NO_ENOUGH_ITEM	道具不足
NO_ENOUGH_STAR	星级不足
NO_ENOUGH_LEVEL	等级不足
NO_ENOUGH_SCORE	评分不足
NO_ENOUGH_FIGHTVALUE	战斗力不足
COMBAT	战斗力
ChangeName	修改军团名字
LeaderTransfer	转让领袖
RecycleArmyChief	收回军团长
ChangeGroup	修改QQ群
TransferArmyChief	转让军团长
AppointOthers	任免比自己职位低的职位
TotemOpen	开启幻兽图腾
ChangeClassTitle	修改职位称谓
EditNotice	编辑军团公告
EditDeclaration	编辑军团宣言
SendMail	发送军团邮件
LevelupBuilding	升级军团建筑
Silent	军团禁言
Dismiss	开除比自己职位低团员
Invite	邀请玩家进军团
Check	审核玩家进军团
ChangeClass	转正式团员
JoinSetting	修改军团入申请设置
TotemEnhance	升级幻兽加持等级
CollegeSpell	升级魔法学院技能等级
CAN_SEND_MAIL_COUNT	可发邮件数量:{0}
Right	权限
None	无
NoGroupFoundMoney	创建军团货币不足
NoGroupFoundName	军团名字不能为空
NoGroupQQ	军团QQ群号码不能为空
GROUP_LADDER_VALUE	军团战斗力排名：
GROUP_BATTLE_VALUE	当前军团总战斗力：
GROUP_MEMBER_ONLINE_INFO	成员在线情况：
GROUP_MEMBER_ONLINE_INFO1	{0}/{1} <color=#62BA3C>（在线：{2}）</color>
GROUP_MEMBER_ONLINE_FORMAT1	{0}：{1}（在线：{2}）
GROUP_MEMBER_ONLINE_FORMAT2	{0}：{1}/{2}（在线：{3}）
GROUP_MEMBER_ONLINE_FORMAT3	成员：{0}（在线：{1}）
GROUP_CURRENCY_HELPINFO_FORMAT1	今日维护资金：{0}
GROUP_CURRENCY_HELPINFO_FORMAT2	累计未缴纳：{0}
GROUP_CURRENCY_HELPINFO_FORMAT3	当前缴纳状态：<color=#{0}>{1}</color>
GROUP_CURRENCY_HELPINFO_FORMAT4	未缴纳天数：<color=#{0}>{1}</color>
GROUP_CURRENCY_HELPINFO_FORMAT5	<color=#{0}>请保留足够的军团资金缴纳维护资金，如果资金不足将限制部分军团功能的使用，如果</color><color=#{1}>连续七日未全部缴纳维护资金，军团将被解散</color>
GROUP_CURRENCY_HELPINFO_1	未缴纳
GROUP_CURRENCY_HELPINFO_2	已缴纳
GROUP_CURRENCY_OWE_CONFIRM	军团维护资金欠费，该功能暂停使用
GROUP_TOTEM_FORMAT1	{0}级图腾祭坛开放图腾加持等级上限为{1}级
GROUP_TOTEM_FORMAT2	图腾加持<{0}级>
GROUP_TOTEM_FORMAT3	祭坛战力分享上限 +{0}%
GROUP_TOTEM_FORMAT4	战力分享上限提升 +{0}%
GROUP_TOTEM_FORMAT5	图腾祭坛等级：{0}
GROUP_TOTEM_FORMAT6	图腾登记数量：{0}
GROUP_TOTEM_FORMAT7	祭坛战力分享：{0}
GROUP_TOTEM_FORMAT8	祭坛战力分享不得超过祭坛战力上限
GROUP_TOTEM_FORMAT9	图腾加持效果：{0}%
GROUP_TOTEM_FORMAT10	祭坛战力上限：{0}
GROUP_TOTEM_FORMAT11	<color=#{0}>军团成员在图腾祭坛中登记幻兽后可获得的战力不得超过{1}点</color>
GROUP_TOTEM_FORMAT12	职位战力分享：{0}
GROUP_TOTEMINFO_TITLE1	获得图腾祭坛战力分享
GROUP_TOTEMINFO_TITLE2	图腾祭坛
GROUP_TOTEMINFO_TITLE3	图腾加持
GROUP_TOTEMINFO_TITLE4	我的登记
GROUP_TOTEM_REMIND1	提示：图腾祭坛战力分享上限受图腾祭坛等级和加持等级影响，等级越高上限越高
GROUP_TOTEM_REMIND2	提示：{0}级图腾祭坛战力分享上限可达{1}
GROUP_TOTEM_REMIND3	提示：{0}级图腾加持可提升战力分享上限{1}%
GROUP_TOTEM_REMIND4	提示：登记幻兽总星级达到{0}可获战力+{1}
GROUP_TOTEM_DESCRIBE1	图腾祭坛战力分享上限：
GROUP_TOTEM_DESCRIBE2	图腾祭坛等级：
GROUP_TOTEM_DESCRIBE3	祭坛等级战力分享上限：
GROUP_TOTEM_DESCRIBE4	图腾加持等级：
GROUP_TOTEM_DESCRIBE5	战力分享上限提升：
GROUP_TOTEM_DESCRIBE6	登记幻兽数量：
GROUP_TOTEM_DESCRIBE7	登记幻兽总星级：
GROUP_TOTEM_DESCRIBE8	登记幻兽可获得战力：
GROUP_TOTEM_DESCRIBE9	<color=#FF6460>（维护资金不足，停止图腾加持效果）</color>
GROUP_TOTEMALTAR_CURRENYISOWE	军团资金欠费，不可登记
GROUP_TOTEMALTAR_CANREGISTER	登记数量已达上限，不可继续登记
GROUP_TOTEMALTAR_EPNOTENOUGH	魔石不足
GROUP_TOTEMALTAR_CURRENCYNOTENOUGH	军团资金不足
GroupQQError	QQ群账号不正确
FVDES	战：
FOCES_INFO	{0}（{1}）
FOCE_RECENT_INFO	罪恶值：{0}\n被对方击败次数：{1}\n击败对方次数：{2}\n最近击败战况：{3}\n
FOCE_BEAT	{0}在{1}击败了对方
FOCE_BEATED	{0}在{1}被对方击败
FOCE_RELEASE	冰释前嫌
FOCE_RELEASE_CONTEXT	确定与{0}解除恶人关系
FOCE_UNENABEL_PUNISH	请在卡托萨城进行惩恶
STRENGTH	力量
INTELLIGENCE	智力
ENDURANCE	耐力
VITALITY	体质
DEXTERITY	敏捷
PHYSICALATTACK	物理攻击
MINPHYSICALATTACK	最小物攻
MAXPHYSICALATTACK	最大物攻
MAGICATTACK	魔法攻击
MINMAGICATTACK	最小魔攻
MAXMAGICATTACK	最大魔攻
ARMOR	物理防御
RESISTANCE	魔法防御
FURY	怒气值
XPRECORVERY	XP值回速
HITRATING	命中值
DODGERATING	闪避值
CRITICALCHANCE	暴击率
CRITICALRATING	暴击值
CRITICALDAMAGE	暴击伤害
CRITICALDAMAGERATING	暴击伤害值
CRITICALRESISTANCE	抗暴击率
CRITICALRESISTANCERATING	抗暴击率值
CRITICALDAMAGEREDUCTION	抗暴击伤害
CRITICALDAMAGEREDUCTIONRATING	抗暴击伤害值
DAMAGEREDUCTION	伤害减免
PHYSICALDAMAGEREDUCTION	物理伤害减免
MAGICDAMAGEREDUCTION	魔法伤害减免
DAMAGEINCREASE	伤害增加
PYSICALDAMEGEINCREASE	物理伤害增加
MAGICDAMAGEINCREASE	魔法伤害增加
TRUEDAMAGEINCREASE	最终伤害增加
TRUEDAMAGEREDUCTION	最终伤害减免
MOVESPEED	移动速度
HIT	命中率
DODGE	闪避率
HEALTH	生命
ATTACK	攻击
DEFENCE	防御
ATTACKPERCENT	攻击+{0}%
HEALTHPERCENT	生命+{0}%
BLOCKDAMAGE	防御+{0}%
DAMAGEINCREASE	伤害增加+{0}%
NeedTarget	没有可攻击的目标
NameLengthError	名字长度不符合要求
GROUPQUITTIP	请先将{0}移交给其他成员
name_repeated	名字重复
USE_UPPER_LIMIT	当前使用<color=#62BA3C>{0}/{1}</color>个
BASE_PRICE	基础价格
NO_ENOUGH_STALL_SLOT	剩余摊位不足
FREE	免费
CAN_CLAIM	未提取
CLAIMED	已提取
CAN_CLAIM_TOTAL	可提取总收益
CLAIMED_TOTAL	已提取总收益
NO_ENOUGH_GOLD	金币不足
STALL	摆摊
NOT_EXIST	物品不存在
TeamFightWaitTip	开始时不在准备地图的玩家将无法参加活动
CHANGE_PRICE	修改价格
RENEW_SLOT	重新上架
SOLDOUT	物品已售罄
EXPIRED	物品过期
LOW_STOCK	存货不足
Dest_invalid	目的地不可到达<color=#ff0000>{0}</color>
PROPERTY	属性
INITIAL_PROPERTY	初始属性
BACK	返回
FP_NO_ENOUGH	怒气值不足！
NO_HORSE	您还没有坐骑！
GET_MOUNT	恭喜获取{0}
TIMEOUT_MOUNT 您的{0}坐骑到期了
CANT_ATTACK_NPC	不能攻击NPC
CANT_USE_AUTO_ATTACK	当前无法使用自动战斗
CANNOT_DELETE_WITH_ATTACHMENT	领取附件后才能删除邮件
AUCTION	拍卖
AUCTION_BUYOUT	一口价成交
AUCTION_NORMAL	竞拍价成交
AUCTION_TIMEOUT	流拍
AUCTION_PUBLISH	后开始
MAIL_CLAIMED_FAILED	领取失败
MAIL_CLAIMED_SUCCEED	领取成功
MAIL_DELETE_ALL	 确认删除所有邮件?
TIME_OUT	已过期
TIME_FOREVER	永久
BOUGHT	已出售
AUCTION	竞拍
AUCTION_NOTICE_PREV	确认要以{0}魔石的价格参与竞拍吗?
AUCTION_BUYOUT_PREV	确认要以{0}魔石的价格购买吗?
BID_FAILED	竞价失败
BID_SUCCEED	竞价成功
BUY_SUCCEED	购买成功
BUY_FAILED	购买失败
SUPER_CATEGORY	大类
EQUIPMENT	装备
EQUIPMENT_FINISHED_PRODUCT	装备成品
EQUIPMENT_STORN	装备套装石
ORDINARY_EUDEMON_EGG	普通幻兽蛋
SEAL_EUDEMON_EGG	封印幻兽蛋
GEM_MAP	宝石图谱
EQUIP_NOTICE	请穿戴装备！
EQUIPMENT_CHIP	装备碎片
EUDEMON_ITEM	幻兽
TREASURE_MAP	高级藏宝图
TASK_COLLECTION	任务收集材料
TITLE_TOKEN	头衔令牌
SUB_CATEGORY	子类
TITLE_MEDAL	爵位勋章
PART	部位
OTHER_ITEM	其他
WEAPON	武器
CLOTH	衣服
HEAD	头盔
SHOULDER	护肩
CUFF	护腕
BELT	耳环
SHOES	鞋子
NECKLACE	项链
RING	戒指
BRACELET	手镯
EUDEMON_CHIP	幻兽碎片
EUDEMON_EGG	幻兽蛋
EUDEMON_EVOLUTION_ITEM	幻兽觉醒材料
EUDEMON_SKILL_BOOK	天赋技能书
QUALITY	品质
QUALITY_RED	传说
QUALITY_ORANGE	神器
QUALITY_GOLDEN	极品
QUALITY_PURPLE	精品
QUALITY_BLUE	上品
QUALITY_GREEN	良品
COLOR_GREEN	白
COLOR_BLUE	绿
COLOR_PURPLE	蓝
COLOR_ORANGE	紫
COLOR_GOLDEN	橙
COLOR_RED	红
EUDEMON_COLLEGE_TYPE1	裁决骑士
EUDEMON_COLLEGE_TYPE2	O兽礼包
EUDEMON_COLLEGE_TYPE3	三宠任务
EUDEMON_COLLEGE_TYPE4	天使降临
EUDEMON_COLLEGE_TYPE5	至尊圣兽
EUDEMON_COLLEGE_FINALCON	完成所在章节所有任务可领取
EUDEMON_COLLEGE_JUMP	立即前往
EUDEMON_RANKS_INITHELTH	初始生命
EUDEMON_RANKS_INITMINWUGONG	初始最小物攻
EUDEMON_RANKS_INITMAXWUGONG	初始最大物攻
EUDEMON_RANKS_INITMINMOGONG	初始最小魔攻
EUDEMON_RANKS_INITMAXMOGONG	初始最大魔攻
EUDEMON_RANKS_INITWUFANG	初始物防
EUDEMON_RANKS_INITMOFANG	初始魔防
EUDEMON_RANKS_GROWMINGONGJI	最小物攻成长率
EUDEMON_RANKS_GROWMAXGONGJI	最大物攻成长率
EUDEMON_RANKS_GROWMINMOGONG	最小魔攻成长率
EUDEMON_RANKS_GROWMAXMOGONG	最大魔攻成长率
EUDEMON_RANKS_GROWWUFANG	物防成长率
EUDEMON_RANKS_GROWMOFANG	魔防成长率
EUDEMON_RANKS_GROWHELTH	生命成长率
EUDEMON_RANKS_RANKTEXT	排名
EUDEMON_RANKS_EUDEMONNAME	幻兽名
EUDEMON_RANKS_OWNER	主人
EUDEMON_RANKS_SCOR	评分
EUDEMON_SOUL_FORMAT1	兽魂等级：{0}阶{1}级
EUDEMON_SOUL_FORMAT2	<color=#62BA3C>可在交易行上架交易</color>
EUDEMON_SOUL_FORMAT3	当前最高求购价格：{0}
EUDEMON_SOUL_FORMAT4	放入兽魂等级不能超过3阶1级
EUDEMON_SOUL_FORMAT5	每次放入的兽魂最多连续强化5次
EUDEMON_SOUL_FORMAT6	已达到最高等级，不能继续锻造
EUDEMON_SOUL_FORMAT7	未镶嵌
EUDEMON_SOUL_FORMAT8	未拥有{0}阶以上兽魂，不可进入
EUDEMON_SOUL_FORMAT9	幻兽进化{0}次开启
EUDEMON_SOUL_LOCK_1	第一次进化激活
EUDEMON_SOUL_LOCK_2	第二次进化激活
EUDEMON_SOUL_LOCK_3	第三次进化激活
EQUIP_WITH_COLOR	{0}色装备
ITEM_WITH_COLOR	{0}色道具
JOB	职业
WARRIOR	战士
MAGE	法师
KINDRED	血族
LEVEL	等级 
XLEVEL	阶
SHOP	商城
RANKING	排行榜
NO_ENOUGH_VIP_LEVEL	贵族等级不足
NO_ENOUGH_VIP_LEVELREQUA	贵族等级不足{0}，无法进入
VIP	贵族
BUY_VIP_GIFT_SUCCEED	购买成功
LEVELOVERTOP	等级过高
EnterPrepareSceneFaild	活动准备时间已过，不能进入准备场景
PRICE_OFF	{0}折
VIP_MORE_REMAIN	可多购买{0}个
SHOP_ENOUGH_REMAIN	充足
COIN	银币
EXP	经验
EXPADD	经验 +{0}
RELIVE_COUNT_DOWN	<color=#4aff4e>{0}</color>秒后自动复活
GroupRank	我的军团排行
PersonRank	我的个人排行
WORLD_BOSS	神之试炼
FinshRankUI	积分排行
ChallengeBOSS	挑战首领
GrabScore	抢夺积分
GoodFriend	好友
MyEnemy	仇人
MyGroupFriend	军团
Stranger	陌生人
BlackPerson	黑名单
WEAL	福利
EUDEMON_RANK_REQUIRE_EVOLVED	已觉醒
EUDEMON_RANK_REQUIRE_LEVEL	等级{0}级以上
EUDEMON_RANK_REQUIRE_STAR	星级{0}级以上
EUDEMON_RANK_REQUIRE_QUALITY	{0}任意幻兽
EUDEMON_RANK_MINOR_LEVEL	等级{0}以上
EUDEMON_RANK_MINOR_STAR	星级{0}以上
EUDEMON_RANK_MINOR_RANK	炼体{0}阶以上
EUDEMON_DEVIL_RANK	炼体等级:
EUDEMON_NULL	没有可出征的幻兽
ATTACK_VALUE	战斗力：
RACE_VALUE	相性：
LEVEL_VALUE	等级：
LEVEL_UP	等级提升：
MAIN_PROPERY_VALUE	主属性评分：
RANK_LEVEL_VALUE	炼体等级：
EVOLVED_STATE	觉醒状态：
EVOLVED	已觉醒
UNEVOLVED	未觉醒
EUDEMON_RANK_NO_ENOUGH_MINOR	炼体副幻兽不足
EUDEMONOFFLINE	玩家离线，无法查看
SURE_DISMISS_TOP4_EUDEMON	确定要放生战斗力前四的幻兽吗?
ATUO_CLOSE	<color=#62ba3c>{0}</color>秒后自动关闭
UP	+
BATTLE_EUDEMON_CANNOT_DISMISS	出征幻兽不能放生
